countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
Greece,United States of America,22.719813447095053,39.06671589971396,-112.5994359115045,45.70562800215178,2019,86817
Germany,Japan,10.288485092742851,51.13372269040778,138.06496213270776,37.66311081170466,2019,11533
Argentina,Spain,-65.17536077114173,-35.4468214894951,-3.6170206023873743,40.348656106226734,2019,70367
Malaysia,United Kingdom,109.6981484486297,3.725588425773716,-2.8531353951805545,53.91477348053706,2019,133762
Switzerland,Canada,8.118300613385486,46.79173768366762,-98.14238137209708,61.46907614534896,2019,43839
Malaysia,Netherlands,109.6981484486297,3.725588425773716,5.512217100965399,52.298700374441786,2019,38218
Brunei,United Kingdom,114.91510877393952,4.690250542520635,-2.8531353951805545,53.91477348053706,2019,133762
United Kingdom,Thailand,-2.8531353951805545,53.91477348053706,101.00613354626108,15.01697499141648,2019,12637
United States of America,South Africa,-112.5994359115045,45.70562800215178,25.04801387986168,-28.947033259979115,2019,2883
United States of America,Qatar,-112.5994359115045,45.70562800215178,51.1835025789133,25.32185097420669,2019,12321
Poland,United States of America,19.31101430844868,52.14826021933187,-112.5994359115045,45.70562800215178,2019,86817
United States of America,United Arab Emirates,-112.5994359115045,45.70562800215178,54.20671476159633,23.86863365334761,2019,24319
Portugal,Brazil,-8.055765588295687,39.63404977497817,-53.05434003576711,-10.806773643498916,2019,5919
Taiwan,Australia,120.97480073748623,23.740964979784938,134.50277547536595,-25.73065477972608,2019,11372
Japan,Qatar,138.06496213270776,37.66311081170466,51.1835025789133,25.32185097420669,2019,12321
United Arab Emirates,Philippines,54.20671476159633,23.86863365334761,122.90267236988682,11.763799362297664,2019,4987
South Africa,Thailand,25.04801387986168,-28.947033259979115,101.00613354626108,15.01697499141648,2019,12637
France,Japan,-2.8766966992706267,42.46070432663372,138.06496213270776,37.66311081170466,2019,11533
Philippines,Qatar,122.90267236988682,11.763799362297664,51.1835025789133,25.32185097420669,2019,12321
Switzerland,Thailand,8.118300613385486,46.79173768366762,101.00613354626108,15.01697499141648,2019,12637
Malaysia,New Zealand,109.6981484486297,3.725588425773716,172.70192594405574,-41.66257875715869,2019,6045
United Kingdom,Canada,-2.8531353951805545,53.91477348053706,-98.14238137209708,61.46907614534896,2019,43839
Australia,South Africa,134.50277547536595,-25.73065477972608,25.04801387986168,-28.947033259979115,2019,2883
Poland,Canada,19.31101430844868,52.14826021933187,-98.14238137209708,61.46907614534896,2019,43839
Taiwan,United Arab Emirates,120.97480073748623,23.740964979784938,54.20671476159633,23.86863365334761,2019,24319
Argentina,Italy,-65.17536077114173,-35.4468214894951,12.140788372235871,42.751183052964265,2019,69187
Netherlands,Thailand,5.512217100965399,52.298700374441786,101.00613354626108,15.01697499141648,2019,12637
South Africa,Germany,25.04801387986168,-28.947033259979115,10.288485092742851,51.13372269040778,2019,113196
Taiwan,France,120.97480073748623,23.740964979784938,-2.8766966992706267,42.46070432663372,2019,65285
Taiwan,Germany,120.97480073748623,23.740964979784938,10.288485092742851,51.13372269040778,2019,113196
Taiwan,Austria,120.97480073748623,23.740964979784938,14.076158884337072,47.6139487927463,2019,24562
Taiwan,Netherlands,120.97480073748623,23.740964979784938,5.512217100965399,52.298700374441786,2019,38218
Philippines,United Arab Emirates,122.90267236988682,11.763799362297664,54.20671476159633,23.86863365334761,2019,24319
Germany,Thailand,10.288485092742851,51.13372269040778,101.00613354626108,15.01697499141648,2019,12637
China,Malaysia,103.88361230063248,36.555066531858685,109.6981484486297,3.725588425773716,2019,9940
United States of America,India,-112.5994359115045,45.70562800215178,79.59370376325381,22.92500640740852,2019,15268
Thailand,Germany,101.00613354626108,15.01697499141648,10.288485092742851,51.13372269040778,2019,113196
South Africa,Senegal,25.04801387986168,-28.947033259979115,-14.50980278585943,14.354139988452022,2019,973
South Africa,United Arab Emirates,25.04801387986168,-28.947033259979115,54.20671476159633,23.86863365334761,2019,24319
Argentina,France,-65.17536077114173,-35.4468214894951,-2.8766966992706267,42.46070432663372,2019,65285
Thailand,Finland,101.00613354626108,15.01697499141648,26.21176461029636,64.50409403963651,2019,13289
Nepal,China,84.01317367692529,28.23944001904935,103.88361230063248,36.555066531858685,2019,4230
Bolivia,United States of America,-64.64140560603113,-16.72898701530584,-112.5994359115045,45.70562800215178,2019,86817
Saudi Arabia,United Kingdom,44.51636376826477,24.123289839105293,-2.8531353951805545,53.91477348053706,2019,133762
Qatar,Malaysia,51.1835025789133,25.32185097420669,109.6981484486297,3.725588425773716,2019,9940
Japan,Austria,138.06496213270776,37.66311081170466,14.076158884337072,47.6139487927463,2019,24562
Philippines,Australia,122.90267236988682,11.763799362297664,134.50277547536595,-25.73065477972608,2019,11372
Australia,China,134.50277547536595,-25.73065477972608,103.88361230063248,36.555066531858685,2019,4230
Thailand,Austria,101.00613354626108,15.01697499141648,14.076158884337072,47.6139487927463,2019,24562
Thailand,Australia,101.00613354626108,15.01697499141648,134.50277547536595,-25.73065477972608,2019,11372
Denmark,United States of America,9.876372937675002,56.06393446179454,-112.5994359115045,45.70562800215178,2019,86817
Iceland,United States of America,-18.761028770831768,65.07427633529105,-112.5994359115045,45.70562800215178,2019,86817
Japan,United Kingdom,138.06496213270776,37.66311081170466,-2.8531353951805545,53.91477348053706,2019,133762
United Kingdom,Brunei,-2.8531353951805545,53.91477348053706,114.91510877393952,4.690250542520635,2019,1139
Thailand,Netherlands,101.00613354626108,15.01697499141648,5.512217100965399,52.298700374441786,2019,38218
United Arab Emirates,Malaysia,54.20671476159633,23.86863365334761,109.6981484486297,3.725588425773716,2019,9940
Brazil,Spain,-53.05434003576711,-10.806773643498916,-3.6170206023873743,40.348656106226734,2019,70367
Iceland,Canada,-18.761028770831768,65.07427633529105,-98.14238137209708,61.46907614534896,2019,43839
South Africa,Australia,25.04801387986168,-28.947033259979115,134.50277547536595,-25.73065477972608,2019,11372
Thailand,France,101.00613354626108,15.01697499141648,-2.8766966992706267,42.46070432663372,2019,65285
Thailand,Italy,101.00613354626108,15.01697499141648,12.140788372235871,42.751183052964265,2019,69187
France,Canada,-2.8766966992706267,42.46070432663372,-98.14238137209708,61.46907614534896,2019,43839
Canada,Japan,-98.14238137209708,61.46907614534896,138.06496213270776,37.66311081170466,2019,11533
Portugal,Canada,-8.055765588295687,39.63404977497817,-98.14238137209708,61.46907614534896,2019,43839
South Africa,Switzerland,25.04801387986168,-28.947033259979115,8.118300613385486,46.79173768366762,2019,36349
South Africa,United Kingdom,25.04801387986168,-28.947033259979115,-2.8531353951805545,53.91477348053706,2019,133762
Kazakhstan,Malaysia,67.2846109811001,48.19166075218232,109.6981484486297,3.725588425773716,2019,9940
Thailand,Israel,101.00613354626108,15.01697499141648,35.003851206429005,31.4849193900197,2019,8507
Brazil,Italy,-53.05434003576711,-10.806773643498916,12.140788372235871,42.751183052964265,2019,69187
Thailand,Belgium,101.00613354626108,15.01697499141648,4.580834113854935,50.65244095902296,2019,24632
Qatar,Australia,51.1835025789133,25.32185097420669,134.50277547536595,-25.73065477972608,2019,11372
Argentina,Canada,-65.17536077114173,-35.4468214894951,-98.14238137209708,61.46907614534896,2019,43839
China,Italy,103.88361230063248,36.555066531858685,12.140788372235871,42.751183052964265,2019,69187
United States of America,Sweden,-112.5994359115045,45.70562800215178,16.59626584684802,62.811484968080336,2019,22493
China,Switzerland,103.88361230063248,36.555066531858685,8.118300613385486,46.79173768366762,2019,36349
Thailand,Norway,101.00613354626108,15.01697499141648,19.20896,69.003871,2019,16124
Canada,Taiwan,-98.14238137209708,61.46907614534896,120.97480073748623,23.740964979784938,2019,11067
United Kingdom,South Africa,-2.8531353951805545,53.91477348053706,25.04801387986168,-28.947033259979115,2019,2883
Italy,Argentina,12.140788372235871,42.751183052964265,-65.17536077114173,-35.4468214894951,2019,3408
Taiwan,India,120.97480073748623,23.740964979784938,79.59370376325381,22.92500640740852,2019,15268
United Kingdom,Japan,-2.8531353951805545,53.91477348053706,138.06496213270776,37.66311081170466,2019,11533
Spain,Argentina,-3.6170206023873743,40.348656106226734,-65.17536077114173,-35.4468214894951,2019,3408
Thailand,United Kingdom,101.00613354626108,15.01697499141648,-2.8531353951805545,53.91477348053706,2019,133762
Senegal,United Arab Emirates,-14.50980278585943,14.354139988452022,54.20671476159633,23.86863365334761,2019,24319
Thailand,Sweden,101.00613354626108,15.01697499141648,16.59626584684802,62.811484968080336,2019,22493
Malaysia,Qatar,109.6981484486297,3.725588425773716,51.1835025789133,25.32185097420669,2019,12321
United Arab Emirates,Thailand,54.20671476159633,23.86863365334761,101.00613354626108,15.01697499141648,2019,12637
Thailand,Switzerland,101.00613354626108,15.01697499141648,8.118300613385486,46.79173768366762,2019,36349
Luxembourg,United States of America,5.965223432343999,49.76570507415103,-112.5994359115045,45.70562800215178,2019,86817
United States of America,Australia,-112.5994359115045,45.70562800215178,134.50277547536595,-25.73065477972608,2019,11372
United Kingdom,India,-2.8531353951805545,53.91477348053706,79.59370376325381,22.92500640740852,2019,15268
Luxembourg,Brazil,5.965223432343999,49.76570507415103,-53.05434003576711,-10.806773643498916,2019,5919
Brazil,Portugal,-53.05434003576711,-10.806773643498916,-8.055765588295687,39.63404977497817,2019,26292
Thailand,Denmark,101.00613354626108,15.01697499141648,9.876372937675002,56.06393446179454,2019,23558
United States of America,Italy,-112.5994359115045,45.70562800215178,12.140788372235871,42.751183052964265,2019,69187
Malaysia,United Arab Emirates,109.6981484486297,3.725588425773716,54.20671476159633,23.86863365334761,2019,24319
Argentina,Netherlands,-65.17536077114173,-35.4468214894951,5.512217100965399,52.298700374441786,2019,38218
Canada,United Arab Emirates,-98.14238137209708,61.46907614534896,54.20671476159633,23.86863365334761,2019,24319
Spain,India,-3.6170206023873743,40.348656106226734,79.59370376325381,22.92500640740852,2019,15268
Denmark,India,9.876372937675002,56.06393446179454,79.59370376325381,22.92500640740852,2019,15268
United Kingdom,Qatar,-2.8531353951805545,53.91477348053706,51.1835025789133,25.32185097420669,2019,12321
Netherlands,Qatar,5.512217100965399,52.298700374441786,51.1835025789133,25.32185097420669,2019,12321
Thailand,United States of America,101.00613354626108,15.01697499141648,-112.5994359115045,45.70562800215178,2019,86817
Germany,South Africa,10.288485092742851,51.13372269040778,25.04801387986168,-28.947033259979115,2019,2883
Thailand,United Arab Emirates,101.00613354626108,15.01697499141648,54.20671476159633,23.86863365334761,2019,24319
Netherlands,Taiwan,5.512217100965399,52.298700374441786,120.97480073748623,23.740964979784938,2019,11067
Thailand,India,101.00613354626108,15.01697499141648,79.59370376325381,22.92500640740852,2019,15268
India,France,79.59370376325381,22.92500640740852,-2.8766966992706267,42.46070432663372,2019,65285
United Kingdom,United Arab Emirates,-2.8531353951805545,53.91477348053706,54.20671476159633,23.86863365334761,2019,24319
Italy,India,12.140788372235871,42.751183052964265,79.59370376325381,22.92500640740852,2019,15268
Spain,Brazil,-3.6170206023873743,40.348656106226734,-53.05434003576711,-10.806773643498916,2019,5919
Netherlands,Malaysia,5.512217100965399,52.298700374441786,109.6981484486297,3.725588425773716,2019,9940
Thailand,Qatar,101.00613354626108,15.01697499141648,51.1835025789133,25.32185097420669,2019,12321
Brazil,United Kingdom,-53.05434003576711,-10.806773643498916,-2.8531353951805545,53.91477348053706,2019,133762
South Africa,United States of America,25.04801387986168,-28.947033259979115,-112.5994359115045,45.70562800215178,2019,86817
Germany,India,10.288485092742851,51.13372269040778,79.59370376325381,22.92500640740852,2019,15268
United States of America,Canada,-112.5994359115045,45.70562800215178,-98.14238137209708,61.46907614534896,2019,43839
Poland,Qatar,19.31101430844868,52.14826021933187,51.1835025789133,25.32185097420669,2019,12321
Qatar,United Kingdom,51.1835025789133,25.32185097420669,-2.8531353951805545,53.91477348053706,2019,133762
India,Switzerland,79.59370376325381,22.92500640740852,8.118300613385486,46.79173768366762,2019,36349
Netherlands,Argentina,5.512217100965399,52.298700374441786,-65.17536077114173,-35.4468214894951,2019,3408
Germany,United Arab Emirates,10.288485092742851,51.13372269040778,54.20671476159633,23.86863365334761,2019,24319
Italy,Brazil,12.140788372235871,42.751183052964265,-53.05434003576711,-10.806773643498916,2019,5919
Ukraine,Kazakhstan,31.22912207026649,49.14882260840351,67.2846109811001,48.19166075218232,2019,1035
Austria,Japan,14.076158884337072,47.6139487927463,138.06496213270776,37.66311081170466,2019,11533
Switzerland,United Arab Emirates,8.118300613385486,46.79173768366762,54.20671476159633,23.86863365334761,2019,24319
Cyprus,United Kingdom,33.03955380295407,34.90706085094344,-2.8531353951805545,53.91477348053706,2019,133762
Germany,Brazil,10.288485092742851,51.13372269040778,-53.05434003576711,-10.806773643498916,2019,5919
